                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0739,                 5.6655,                  1.592,                0.00107,                0.44583,                0.00114,                 0.0005,                 1.8511,                 4.3934,                 1.3865,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.8135,                  5.189,                 1.3797,                0.00116,                0.44583,                0.00096,                0.00044,                  1.816,                  4.239,                 1.4491,             0.00057767,             0.00057767,             0.00057767
                      3,                 1.8489,                 4.6247,                  1.399,                0.00047,                0.12917,                0.00114,                 0.0004,                 1.9561,                 4.0181,                 1.4044,             0.00086602,             0.00086602,             0.00086602
                      4,                 1.7714,                 4.4192,                 1.3541,                 0.0005,                0.06667,                0.00122,                0.00062,                 1.8567,                 3.8674,                 1.3759,              0.0011484,              0.0011484,              0.0011484
                      5,                 1.7109,                 4.2152,                 1.3538,                0.00083,                 0.1125,                0.00243,                0.00112,                 2.0155,                 4.1128,                 1.6688,              0.0014249,              0.0014249,              0.0014249
                      6,                 1.8332,                 4.1965,                 1.3814,                 0.0007,                  0.075,                0.00182,                 0.0009,                   1.96,                 3.8953,                 1.6616,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.809,                 3.8579,                 1.4675,                0.03312,                0.03333,                0.01829,                0.00792,                 2.1433,                  4.098,                 1.8176,               0.001568,               0.001568,               0.001568
                      8,                 1.7468,                 3.8465,                   1.37,                0.04143,                0.03333,                0.00823,                 0.0028,                 1.9089,                  4.357,                 1.5648,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7532,                 3.6956,                 1.3353,                 0.0648,                 0.0375,                0.01559,                0.00768,                 1.9268,                 5.1301,                 1.4907,               0.001535,               0.001535,               0.001535
                     10,                 1.7626,                 3.6898,                 1.3451,                0.11735,                0.05417,                0.01197,                0.00668,                 1.8894,                 5.3613,                 1.5436,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.6848,                 3.4729,                 1.3198,                0.34621,                0.05417,                0.03807,                0.01831,                 1.8737,                 4.2082,                 1.5609,               0.001502,               0.001502,               0.001502
                     12,                  1.669,                 3.2597,                 1.3136,                  0.126,                0.01667,                0.02296,                0.01554,                   1.83,                 3.6907,                   1.48,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.604,                 3.2204,                 1.2624,                0.06659,                 0.0375,                0.00872,                0.00537,                 1.9291,                 4.3883,                 1.5267,               0.001469,               0.001469,               0.001469
                     14,                 1.6911,                 3.2132,                 1.3167,                0.53077,                0.01667,                0.01048,                0.00747,                 1.7033,                 3.4207,                 1.3817,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6383,                 3.3216,                 1.3375,                0.20784,                0.03453,                0.02328,                0.01134,                  1.714,                  3.179,                 1.3236,               0.001436,               0.001436,               0.001436
                     16,                 1.5993,                 3.0477,                   1.31,                0.72376,                0.02809,                0.02816,                0.01062,                   1.93,                 3.6068,                 1.5363,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5541,                 2.9818,                  1.275,                0.17173,                0.01667,                0.02056,                0.00906,                 1.8045,                 3.2044,                 1.4729,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.563,                 3.1074,                 1.2795,                0.01419,                0.05833,                0.00946,                 0.0054,                 1.8616,                 3.3454,                 1.4109,              0.0013864,              0.0013864,              0.0013864
                     19,                  1.532,                 2.8985,                  1.249,                 0.0122,                0.05417,                 0.0087,                0.00511,                 1.7886,                 3.4602,                 1.3627,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.5316,                 2.8033,                 1.2534,                0.03372,                0.03333,                0.01532,                0.00701,                 1.8655,                  3.431,                 1.4767,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5283,                 2.9268,                 1.2432,                0.16765,                0.03333,                0.02291,                0.01134,                 1.8388,                 3.3436,                 1.5138,              0.0013369,              0.0013369,              0.0013369
                     22,                   1.53,                 2.8414,                 1.2697,                0.65612,                0.01667,                0.02237,                0.00384,                 1.8384,                 3.4654,                 1.5739,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.4606,                 2.7623,                 1.2592,                0.02327,                  0.075,                0.03589,                0.01013,                 1.9247,                 3.4415,                 1.5585,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4823,                 2.5863,                 1.2282,                0.08131,                0.03333,                0.02945,                0.01561,                 1.8407,                 3.8753,                 1.4814,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3916,                 2.6259,                 1.1947,                0.73951,                0.03333,                0.02318,                0.00544,                 1.7865,                 3.6475,                 1.4723,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.4527,                 2.4594,                 1.1977,                0.58649,                0.03333,                0.02815,                0.00905,                 1.7211,                  3.142,                 1.3782,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.4867,                 2.6061,                 1.2032,                0.01046,                0.05833,                0.01005,                0.00543,                 1.7325,                 3.4142,                 1.3823,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.4498,                 2.5861,                 1.1439,                0.52426,                0.01667,                0.00529,                 0.0015,                 1.8185,                 3.7555,                 1.4731,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.3863,                 2.4404,                 1.1935,                0.60625,                0.01667,                0.00928,                0.00532,                 1.8666,                 3.5545,                 1.5798,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3793,                 2.4675,                  1.207,                0.00195,                0.01667,                0.00159,                0.00111,                 1.9129,                 3.3813,                  1.524,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.4028,                 2.3384,                  1.192,                0.11646,                0.03333,                0.01956,                0.00531,                 1.7225,                 3.6443,                 1.4307,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.3324,                 2.2802,                 1.1651,                0.01772,                0.05833,                0.01887,                0.00719,                 1.7736,                 3.3867,                 1.5239,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.3455,                 2.3518,                 1.1925,                0.12076,                 0.0375,                0.01719,                0.00386,                 1.8109,                 3.6033,                 1.5184,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3884,                 2.2825,                 1.1824,                0.29831,                0.05417,                0.03852,                0.01339,                 1.8153,                 3.7198,                 1.4465,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3283,                   2.25,                 1.1466,                0.08156,                0.03333,                0.03573,                0.01415,                 1.7835,                 3.5093,                 1.4053,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.312,                 2.2889,                 1.1511,                0.00778,                0.05417,                0.00567,                0.00362,                 1.8752,                 3.8084,                 1.4916,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3634,                  2.449,                 1.1692,                0.01404,                0.01667,                0.00987,                0.00416,                 1.8391,                 3.9208,                 1.4935,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2648,                 2.1584,                 1.1466,                0.01724,                  0.075,                0.01357,                0.00775,                 1.6847,                 3.8423,                 1.4715,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2749,                 2.1487,                  1.134,                0.01866,                0.09583,                0.01195,                 0.0062,                 1.6771,                 3.7039,                  1.412,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4216,                 2.3103,                 1.1859,                0.00382,                0.01667,                0.00201,                0.00121,                 1.7343,                 3.9406,                 1.4685,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2579,                 1.9172,                 1.1342,                0.00391,                0.01667,                0.00213,                0.00128,                 1.9068,                 3.9271,                 1.5988,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2376,                 2.0299,                 1.1397,                0.30162,                0.03333,                0.02802,                0.00918,                 1.7245,                 3.7728,                 1.4698,             0.00099036,             0.00099036,             0.00099036
                     43,                  1.262,                  1.925,                 1.0974,                0.10548,                 0.1125,                 0.0277,                0.01411,                 1.7008,                 3.2144,                 1.3989,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2016,                 1.8266,                 1.0962,                0.13712,                0.05417,                0.03057,                0.01266,                 1.6335,                 3.7227,                 1.4304,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1945,                 1.9579,                 1.0529,                 0.2292,                 0.0375,                0.02133,                0.00717,                 1.7048,                 3.8516,                 1.4317,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1941,                 1.8666,                 1.0603,                0.58984,                0.01667,                0.00852,                0.00171,                 1.8362,                 4.0189,                 1.5204,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2036,                 1.8144,                 1.0911,                0.10617,                0.01667,                0.00842,                0.00191,                 1.8556,                 4.0556,                 1.4934,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2062,                 1.8058,                 1.1057,                0.10617,                0.01667,                0.00842,                0.00191,                 2.4772,                 4.2937,                 2.0114,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2058,                  1.828,                 1.0924,                0.02228,                0.09583,                0.02325,                0.01085,                 1.7934,                 3.8565,                 1.4715,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.1825,                 1.7797,                 1.0887,                0.16483,                0.02083,                0.02173,                 0.0148,                 1.7446,                 3.7662,                 1.5279,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.1866,                 1.7475,                 1.0824,                0.02338,                0.05417,                0.01183,                0.00642,                   1.74,                 3.6452,                 1.4971,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2051,                 1.6405,                 1.0966,                0.06547,                0.04971,                0.02178,                0.00784,                 1.7848,                 3.8552,                 1.4857,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1737,                 1.6062,                 1.0753,                0.12872,                 0.0375,                0.01547,                0.00294,                 1.7265,                 4.0445,                 1.4186,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.1997,                 1.6647,                 1.0685,                0.06655,                 0.0375,                0.01132,                0.00515,                 1.7736,                 4.3031,                 1.4987,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1947,                 1.7275,                   1.07,                0.15782,                0.05417,                0.02011,                 0.0052,                 1.7382,                 4.2422,                 1.4047,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1283,                  1.617,                 1.0791,                0.16298,                0.05417,                0.02099,                0.00874,                  1.695,                 4.0139,                 1.3897,             0.00075932,             0.00075932,             0.00075932
                     57,                  1.096,                 1.6658,                 1.0386,                0.05548,                   0.05,                0.02494,                0.00935,                 1.7515,                 3.7577,                 1.4041,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1649,                 1.5779,                 1.0701,                0.04937,                0.03333,                0.01792,                0.00563,                 1.8032,                 4.1796,                 1.4756,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1024,                 1.5317,                 1.0854,                0.06276,                0.05833,                0.01382,                0.00624,                 1.7921,                 4.0928,                 1.4847,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1061,                 1.4468,                 1.0485,                 0.1549,                 0.0375,                 0.0183,                0.00511,                 1.7876,                 4.2319,                 1.5135,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1382,                 1.4476,                 1.0517,                0.27168,                0.07083,                0.05432,                0.02051,                 1.7043,                 4.2909,                 1.4061,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.0995,                 1.4514,                 1.0518,                0.29558,                0.07083,                0.06265,                0.02378,                 1.7295,                 4.2084,                 1.3893,              0.0006603,              0.0006603,              0.0006603
                     63,                  1.074,                 1.3485,                 1.0194,                0.30245,                 0.0375,                0.03108,                0.01188,                 1.7782,                 4.3073,                 1.4119,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1016,                 1.4908,                 1.0382,                0.17352,                 0.0375,                0.02553,                0.00996,                 1.8175,                 4.0702,                 1.4703,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0305,                 1.3374,                 1.0261,                0.33062,                0.07083,                0.05141,                0.02126,                 1.7978,                   4.17,                 1.4449,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0246,                 1.3813,                 1.0114,                0.28181,                 0.0375,                0.01898,                0.00768,                 1.7798,                  4.315,                 1.4234,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.0816,                 1.3191,                 1.0196,                0.26509,                0.07083,                0.04651,                0.02027,                 1.8242,                 4.2493,                 1.4404,             0.00057778,             0.00057778,             0.00057778
                     68,                0.99397,                 1.2714,                 1.0028,                 0.1985,                0.10417,                0.07775,                0.03388,                 1.7916,                 4.0123,                 1.4694,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.9921,                 1.2775,                0.98251,                0.17904,                 0.0875,                0.06384,                0.03147,                 1.8166,                 3.9739,                 1.5188,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0025,                 1.2163,                 1.0009,                0.50398,                0.07083,                0.07489,                0.03574,                 1.7209,                 4.2368,                 1.4573,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.9982,                 1.1891,                 1.0025,                 0.1021,                0.05417,                0.04469,                0.01561,                 1.7283,                 4.3902,                 1.4326,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0375,                 1.2199,                 1.0158,                 0.0734,                0.12801,                 0.0702,                0.03039,                 1.7539,                 4.2331,                 1.4493,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0925,                 1.3151,                  1.036,                0.14843,                0.07083,                 0.0735,                0.02561,                 1.7614,                 4.3193,                 1.4189,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0118,                 1.1886,                0.99532,                0.11557,                0.09323,                0.05407,                0.02518,                 1.7542,                 4.4437,                  1.404,             0.00046226,             0.00046226,             0.00046226
